age,d13,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
1.6679,-19.28,-6.2907,213.3044615,21.56498782,14.93498782,-27.26766104,-20.91334723
1.6702,-21.57,-6.2499,219.0638974,21.56735434,14.93735434,-27.2299758,-20.87543064
1.6726,-20.73,-6.1887,225.0737436,21.56969463,14.93969463,-27.17229649,-20.81738919
1.6748,-21.06,-6.1326,230.5827692,21.57173272,14.94173272,-27.11932196,-20.76408137
1.6771,-23.3,-6.07395,236.3422051,21.57376186,14.94376186,-27.06384296,-20.70825267
1.6795,-20.96,-6.01275,242.3520513,21.57577641,14.94577641,-27.00585414,-20.64989765
1.6818,-20.69,-6.0642,248.1114872,21.57761543,14.94761543,-27.05796898,-20.70236445
1.6844,-20.76,-6.156933333,254.6221538,21.57959415,14.94959415,-27.15062795,-20.79564109
1.6869,-20.39,-6.2461,260.8824103,21.58140362,14.95140362,-27.23963409,-20.88523997
1.6896,-19.99,-6.3424,267.6434872,21.58326278,14.95326278,-27.33566983,-20.98191469
1.6923,-19.41,-6.4617,274.4045641,21.58503032,14.95503032,-27.45413205,-21.1011618
1.6946,-20.4,-6.566733333,280.164,21.58646871,14.95646871,-27.55831533,-21.20603465
1.6968,-21.15,-6.6672,285.6730256,21.58779029,14.95779029,-27.65791698,-21.3062952
1.6992,-21.74,-6.7768,289.8841026,21.58876663,14.95876663,-27.76613013,-21.41522134
1.7015,-20.4,-6.760333333,289.7332967,21.58873216,14.95873216,-27.74997864,-21.39896412
1.7042,-20.9,-6.664933333,289.5562637,21.58869164,14.95869164,-27.65655611,-21.30493108
1.7069,-20.6,-6.569533333,289.3792308,21.58865108,14.95865108,-27.56313354,-21.21089799
1.7093,-19.46,-6.484733333,289.2218681,21.58861498,14.95861498,-27.4800912,-21.12731297
1.7117,-19.92,-6.489466667,289.0645055,21.58857884,14.95857884,-27.48469011,-21.13194169
1.7145,-20,-6.538,288.8809158,21.58853663,14.95853663,-27.53215763,-21.17971902
1.7173,-20.6,-6.586533333,288.697326,21.58849436,14.95849436,-27.57962511,-21.22749631
1.7242,-19.82,-6.582933333,288.2449084,21.58838998,14.95838998,-27.57600183,-21.2238487
1.7276,-20.61,-6.542133333,288.021978,21.58833842,14.95833842,-27.53601494,-21.18360029
1.7309,-20.43,-6.507933333,287.8056044,21.5882883,14.9582883,-27.50248996,-21.14985599
1.7336,-20.58,-6.491733333,287.6285714,21.58824724,14.95824724,-27.48659321,-21.13385515
1.7363,-20.97,-6.475533333,287.4515385,21.58820613,14.95820613,-27.47069641,-21.11785425
1.7393,-21.94,-6.457533333,287.2548352,21.58816039,14.95816039,-27.45303324,-21.10007541
1.7424,-21.54,-6.585333333,287.0515751,21.58811307,14.95811307,-27.57808753,-21.22594629
1.7451,-20.43,-6.733833333,286.8745421,21.58807179,14.95807179,-27.72341015,-21.37221795
1.7479,-20.65,-6.887833333,286.6909524,21.58802893,14.95802893,-27.87411506,-21.52390704
1.7506,-21.1,-6.946733333,286.5139194,21.58798755,14.95798755,-27.93173102,-21.5818991
1.7533,-18.67,-6.692033333,285.8823019,21.58783949,14.95783949,-27.68227237,-21.33081
1.7559,-20.02,-6.446766667,279.8022264,21.5863801,14.9563801,-27.44079925,-21.08775036
1.7585,-21.07,-6.2015,273.7221509,21.58485588,14.95485588,-27.19926369,-20.84462748
1.7611,-20.39,-6.104366667,267.6420755,21.5832624,14.9532624,-27.10266513,-20.74738793
1.7638,-20.97,-6.213266667,261.3281509,21.58152916,14.95152916,-27.20761391,-20.85301141
1.7669,-18.39,-6.3383,254.0788302,21.5794329,14.9494329,-27.32800994,-20.97418079
1.77,-20.78,-6.463333333,246.8295094,21.57721351,14.94721351,-27.44828925,-21.09523191
1.7757,-20.41,-6.680883333,233.5001132,21.57277306,14.94277306,-27.65701782,-21.30529619
1.7813,-20.69,-6.773825,223.5826594,21.56912572,14.93912572,-27.74452556,-21.39335273
1.7846,-20.85,-6.59315,222.0348805,21.5685271,14.9385271,-27.56709545,-21.21475984
1.788,-20.45,-6.407,220.4401992,21.56790155,14.93790155,-27.38428009,-21.03074633
1.7966,-21.65,-6.24635,216.4065936,21.56627812,14.93627812,-27.22547593,-20.87089463
1.802,-20.66,-6.254,213.8738645,21.56522746,14.93522746,-27.23196396,-20.87741847
1.8074,-21.72,-6.3458,211.3411355,21.56415162,14.93415162,-27.32080171,-20.9668298
1.8117,-20.52,-6.4512,209.3243327,21.56327631,14.93327631,-27.42314349,-21.06983465
1.8159,-21.11,-6.6024,207.3544323,21.56240492,14.93240492,-27.57032246,-21.21796961
1.8191,-22.22,-6.7176,205.8535558,21.56172981,14.93172981,-27.68244834,-21.33082371
1.8223,-21.94,-6.63385,204.3526793,21.56104478,14.93104478,-27.59981396,-21.24764524
1.8268,-21.2,-6.4066,202.2420717,21.56006426,14.93006426,-27.37642674,-21.02279262
1.8313,-20.91,-6.266016667,200.1314641,21.55906306,14.92906306,-27.23785705,-20.88331145
1.835,-22.27,-6.325833333,198.3960757,21.55822389,14.92822389,-27.2956123,-20.94143874
1.8388,-20.87,-6.387266667,196.6137849,21.55734662,14.92734662,-27.35491393,-21.00112226
1.8414,-20.17,-6.3796,195.3943227,21.55673717,14.92673717,-27.34682877,-20.99298046
1.844,-19.94,-6.329333333,194.1748606,21.55612005,14.92612005,-27.29703522,-20.94285778
1.8476,-19.91,-6.259733333,192.4863745,21.55525268,14.92525268,-27.22807791,-20.87344458
1.8513,-22.01,-6.1908,190.7509861,21.55434521,14.92434521,-27.15973491,-20.80464944
1.8551,-20.11,-6.124933333,188.9686952,21.55339587,14.92339587,-27.09435387,-20.73883535
1.859,-19.12,-6.057333333,187.139502,21.55240274,14.92240274,-27.02723424,-20.67127104
1.862,-19.65,-6.0825,185.7324303,21.55162548,14.92162548,-27.05112967,-20.6953177
1.8698,-21.43,-6.24825,182.0740438,21.5495484,14.9195484,-27.21140491,-20.85662694
1.8745,-19.82,-6.324875,179.8696315,21.54825602,14.91825602,-27.28518291,-20.93087881
1.8778,-21.35,-6.37795,178.3218526,21.54732952,14.91732952,-27.3362562,-20.98227993
1.8812,-20.16,-6.446533333,177.6039704,21.54689431,14.91689431,-27.40297856,-21.04943544
1.8838,-19.96,-6.518466667,178.2842395,21.5473068,14.9173068,-27.47378734,-21.12070937
1.8864,-23.87,-6.5904,178.9645086,21.54771616,14.91771616,-27.54459308,-21.19198021
1.8891,-20.17,-6.6651,179.6709419,21.54813798,14.91813798,-27.61811894,-21.26598902
1.8919,-19.76,-6.7071,180.4035394,21.54857193,14.91857193,-27.65964606,-21.30779013
1.895,-19.33,-6.735,181.2146295,21.54904829,14.91904829,-27.68741093,-21.33573936
1.898,-20.22,-6.762,181.9995553,21.54950524,14.91950524,-27.71427629,-21.36278308
1.9037,-21.11,-6.673625,183.4909145,21.55036267,14.92036267,-27.62858171,-21.27653406
1.9094,-20.38,-6.50975,184.9822737,21.55120627,14.92120627,-27.4689669,-21.11588184
1.9144,-22.32,-6.3946,186.2904835,21.55193515,14.92193515,-27.35694015,-21.00312784
1.9194,-20.8,-6.28335,187.5986934,21.55265387,14.92265387,-27.24872161,-20.89420685
1.923,-19.76,-6.321,188.5406044,21.55316517,14.92316517,-27.28606413,-20.93179652
1.9267,-20.71,-6.3839,189.5086797,21.55368538,14.92368538,-27.34813234,-20.99427345
1.9311,-20.45,-6.473366667,190.6599043,21.55429713,14.92429713,-27.43629377,-21.08301462
1.9354,-20.61,-6.6038,191.7849648,21.55488788,14.92488788,-27.56453736,-21.21209967
1.9392,-20.23,-6.719066667,192.7792042,21.5554042,14.9254042,-27.67786333,-21.32616917
1.943,-20.14,-6.665833333,193.7734437,21.55591522,14.92591522,-27.62623967,-21.27421147
1.9465,-20.69,-6.575416667,194.6891906,21.55638127,14.92638127,-27.53817455,-21.18557399
1.95,-22.86,-6.485,195.6049375,21.55684297,14.92684297,-27.45010536,-21.09693237
1.9556,-18.62,-6.296,197.0701325,21.55757276,14.92757276,-27.26578854,-20.91141607
1.9612,-20.5,-6.2198,198.5353274,21.55829177,14.92829177,-27.19188126,-20.8370305
1.9653,-21,-6.466825,199.6080595,21.5588115,14.9288115,-27.43418801,-21.08092337
1.9695,-20.61,-6.719875,200.7069557,21.55933814,14.92933814,-27.68239894,-21.33075903
1.9734,-20.37,-6.669533333,201.7273594,21.55982203,14.92982203,-27.63358029,-21.2816245
1.9773,-21.89,-6.577233333,209.7420765,21.563459,14.933459,-27.5466904,-21.19418977
1.9811,-21.63,-6.487666667,222.9844226,21.56889533,14.93889533,-27.46418976,-21.11118423
1.9848,-20.59,-6.401333333,235.8782858,21.57360209,14.94360209,-27.38416044,-21.03066158
1.9885,-20.54,-6.315,248.772149,21.57782094,14.94782094,-27.3036673,-20.94966904
1.9923,-19.08,-6.191833333,262.014495,21.58172161,14.95172161,-27.18681664,-20.83207949
1.9999,-22.51,-5.9005,288.499187,21.58844869,14.95844869,-26.90804572,-20.55152968
2.0049,-21.08,-5.98405,305.9233265,21.59223918,14.96223918,-26.99344036,-20.63750588
2.0099,-21.45,-6.073216667,323.347466,21.59562115,14.96562115,-27.08394324,-20.72862113
2.0149,-21.01,-6.139516667,340.7716055,21.59865728,14.96865728,-27.15173297,-20.79687268
2.0199,-20.6,-6.20535,345.8144276,21.59947889,14.96947889,-27.21695681,-20.86252772
2.0241,-19.85,-6.210083333,275.2022897,21.58523314,14.95523314,-27.20802491,-20.85344829
2.0282,-20.1,-6.2135,233.3430766,21.57271772,14.94271772,-27.19945163,-20.84474065
2.0325,-18.93,-6.27625,231.1751426,21.57194609,14.94194609,-27.26014178,-20.90582242
2.0369,-20.91,-6.38405,228.9567915,21.57114138,14.94114138,-27.36489927,-21.01125919
2.0411,-21.95,-6.518666667,226.8392745,21.57035857,14.94035857,-27.49592821,-21.14313916
2.0453,-20.97,-6.742666667,224.7217575,21.56956101,14.93956101,-27.71443939,-21.36307275
2.0496,-21.38,-6.972,222.5538235,21.56872873,14.93872873,-27.9381386,-21.58822805
2.0538,-22.12,-6.949,220.4363065,21.56790001,14.93790001,-27.91483563,-21.56476767
2.0571,-20.83,-6.9105,218.7725432,21.56723762,14.93723762,-27.87651813,-21.52619572
2.0603,-21.68,-6.863466667,217.1591969,21.5665856,14.9365856,-27.82985727,-21.47922597
2.0639,-21.63,-6.705066667,215.3441823,21.56584041,14.93584041,-27.67409202,-21.32243853
2.071,-21.26,-6.43,211.7645703,21.56433328,14.93433328,-27.40339728,-21.04996607
2.0744,-20.78,-6.407333333,210.0503899,21.56359336,14.93359336,-27.38050463,-21.02691923
2.0781,-21.23,-6.382666667,208.1883755,21.56277583,14.93277583,-27.35558025,-21.00182692
2.0817,-21.39,-6.353,207.6035709,21.56251604,14.93251604,-27.32629242,-20.97234615
2.0855,-20.5,-6.315,206.9862771,21.56224023,14.93224023,-27.28883188,-20.93463917
2.0892,-20.56,-6.278,206.3852279,21.56197009,14.93197009,-27.25235561,-20.89792293
2.0946,-20.42,-6.3896,205.508021,21.56157299,14.93157299,-27.361222,-21.007498
2.1,-20.55,-6.53,204.630814,21.56117249,14.93117249,-27.49827739,-21.14544618
2.1046,-20.6,-6.5024,203.8835637,21.5608286,14.9308286,-27.47093254,-21.11792055
2.1092,-20.7,-6.4748,203.1363133,21.56048219,14.93048219,-27.44358526,-21.09039246
2.1139,-20.74,-6.4388,202.3728184,21.5601256,14.9301256,-27.40800556,-21.0545781
2.1186,-21.52,-6.4012,201.6093234,21.55976631,14.92976631,-27.37085703,-21.01718465
2.123,-21.58,-6.6165,200.8945622,21.55942748,14.92942748,-27.58129064,-21.2289908
2.1273,-20.58,-6.94115,200.1960456,21.55909401,14.92909401,-27.89877177,-21.54854377
2.1357,-21.13,-7.27895,198.8315014,21.55843582,14.92843582,-28.22881669,-21.88074059
2.1404,-22.41,-7.3476,198.0680065,21.5580636,14.9280636,-28.29566388,-21.94802213
2.145,-20.54,-6.975,197.3207562,21.5576965,14.9276965,-27.93057759,-21.58054862
2.1496,-21.18,-6.6024,196.5735058,21.55732661,14.92732661,-27.56548838,-21.21307216
2.1542,-21.77,-6.4629,195.8262554,21.5569539,14.9269539,-27.42857733,-21.0752644
2.1575,-21,-6.37875,195.2901845,21.55668477,14.92668477,-27.34594681,-20.99209242
