depth_m,age,d13o,CaCO3,TOC,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.7,0.02,-22.53,19.08,0.26,-7.41,174.56041322314053,21.545009426275495,14.915009426275494,-28.34433055723833,-21.996925081338254
18.4,0.17,-22.85,23.04,0.08,-7.294,209.5083300589391,21.563356865836322,14.93335686583632,-28.24823019726442,-21.900311695809744
20.9,0.19,-23.25,23.95,0.4,-6.59,223.73336879432628,21.56918356544906,14.939183565449058,-27.564636853246444,-21.21228928202153
31.9,0.29,-23.47,30.23,0.34,-7.095000000000001,262.27803817008135,21.581795243193223,14.95179524319322,-28.07097324631412,-21.72201216503152
34.9,0.32,-22.37,27.37,0.27,-6.486666666666667,289.22583497053046,21.58861588876749,14.958615888767488,-27.48198454718396,-21.12921868903511
36.7,0.34,-22.43,9.6,0.06,-7.833333333333333,265.59350340136046,21.582709075131312,14.95270907513131,-28.794577421044888,-22.45034887312953
38.5,0.35,-22.51,8.21,0.05,-7.206666666666667,236.41323129251705,21.573786271415397,14.943786271415394,-28.172661950465876,-21.824315038624814
56.9,0.52,-22.22,13.88,0.12,-7.06,249.27517915309446,21.57797668758987,14.94797668758987,-28.033079550566395,-21.683847047427655
69.2,0.64,-22.36,8.71,0.07,-7.455,198.02544668587893,21.558042763840064,14.928042763840063,-28.400777586112344,-22.05382236053585
80.3,0.74,-22.19,26.38,0.07,-7.11,217.3126168224299,21.566648019886077,14.936648019886077,-28.071245351901748,-21.72219129430245
84.3,0.77,-22.34,17.03,0.07,-7.413333333333333,207.78829390681003,21.56259825956023,14.93259825956023,-28.364323089216423,-22.017158214459858
90.5,0.89,-22.09,13.46,0.05,-7.64,201.91302508960572,21.559909552063424,14.929909552063423,-28.583648672026577,-22.237899720606904
102.5,1.04,-23.71,3.75,0.03,-6.626666666666667,296.13599999999997,21.590164924224005,14.960164924224005,-27.62050043128953,-21.26864909274772
109.7,1.11,-20.36,14.29,0.54,-6.27,281.41798387096804,21.586774083035138,14.956774083035137,-27.268142843802053,-20.913968579807264
111.2,1.12,-23.17,15.14,0.05,-6.835,243.56088000000395,21.576169606547655,14.946169606547654,-27.811112329969482,-21.46041855105607
114.5,1.16,-21.29,15.28,0.05,-6.08,305.71689189189163,21.592196797072013,14.962196797072012,-27.08732200953644,-20.73200052521672
120.5,1.22,-21.18,12.35,0.15,-6.95,287.17184397163123,21.588141077709913,14.958141077709914,-27.935074743138664,-21.585265629228076
122.8,1.24,-22.47,14.01,0.04,-6.36,270.4566959064328,21.584008967828836,14.954008967828837,-27.353608438000556,-20.999975151095178
132.5,1.34,-21.58,23.13,0.05,-6.786666666666667,279.26606208968514,21.58624835915854,14.956248359158536,-27.773391694922424,-21.42251457732898
139.9,1.41,-19.15,15.41,0.15,-6.515000000000001,304.63666666666666,21.59197410029434,14.96197410029434,-27.512915932065606,-21.160373145341183
144.1,1.45,-20.8,18.06,0.11,-6.415,262.35192307692347,21.581815859495833,14.951815859495833,-27.40535845965606,-21.052049492026065
149.8,1.51,-21.88,27.74,0.12,-6.943333333333333,260.51696696696547,21.58130038563886,14.951300385638858,-27.922039790865753,-21.572102731089803
151.9,1.53,-21.45,15.39,0.08,-6.593333333333334,189.11,21.553471788905927,14.923471788905928,-27.55294353113953,-21.200421234040142
154.5,1.55,-21.23,17.22,0.15,-6.535,277.8516037735849,21.585898365389156,14.955898365389153,-27.526709609426494,-21.174218899560817
157.2,1.58,-21.62,11.42,0.15,-6.623333333333333,220.8803108808289,21.568075095179676,14.938075095179675,-27.596211271467553,-21.244063019796556
172.2,1.73,-22.06,29.87,0.07,-6.513333333333334,287.8646153846154,21.588301979563045,14.958301979563043,-27.50778886019248,-21.155189598447883
173.1,1.74,-21.14,23.14,0.09,-6.453333333333333,287.2089377289377,21.588149712708034,14.958149712708034,-27.44891182804658,-21.095927011475357
176.8,1.78,-21.16,21.53,0.02,-6.845,224.19239043824692,21.569359269899984,14.939359269899981,-27.814420050937404,-21.463705265672846
178.5,1.79,-22.39,26.15,0.05,-6.2975,219.5021513944222,21.567529331133983,14.937529331133982,-27.2767374951497,-20.922498890279808
179.3,1.8,-18.81,18.92,0.24,-6.22,214.8119123505975,21.565619481992865,14.935619481992864,-27.199055011348335,-20.84429699372494
181.9,1.83,-19.29,22.82,0.14,-6.245,200.7411952191234,21.55935446008458,14.929354460084578,-27.21756140618943,-20.862885054052626
183.5,1.85,-21.12,17.23,0.08,-6.213333333333333,191.360717131474,21.554665927846578,14.924665927846577,-27.182098214938986,-20.82716084336713
185.9,1.88,-20.04,25.32,0.06,-6.413333333333333,177.29,21.54670285972136,14.916702859721362,-27.370296546191447,-21.016538729684168
194.5,1.98,-19.73,5.59,0.08,-6.513333333333334,219.15111186594189,21.567389219308435,14.937389219308434,-27.48788073012131,-21.135020524903215
198.9,2.04,-21.56,17.38,0.14,-6.46,227.39386226964103,21.57056500334546,14.94056500334546,-27.43869681019408,-21.085535194146978
207.5,2.15,-23.45,35.28,0.06,-6.569999999999999,196.50852749638207,21.557294316462407,14.927294316462406,-27.533741350535564,-21.18111754097666
210.5,2.19,-16.29,21.31,0.25,-6.46,304.7862841225627,21.592005039267846,14.962005039267845,-27.459107844319497,-21.106213762592077
213.1,2.23,-21.54,26.12,0.08,-6.08,236.76165839231015,21.573905788503197,14.943905788503196,-27.069902267284803,-20.714352456917176
226.6,2.41,-15.85,14.15,0.16,-6.6375,284.2169198312228,21.587445964119937,14.957445964119936,-27.628516849561258,-21.276700860701254
231.7,2.48,-19.57,21.6,0.09,-6.27,341.41265306122426,21.59876306845149,14.968763068451489,-27.279558351015897,-20.925533712232195
234.8,2.52,-20.14,22.66,0.06,-6.145,258.1433676975942,21.580622725963302,14.950622725963303,-27.139926217453944,-20.784875888153547
239.8,2.58,-22.81,29.06,0.06,-6.86,315.5487234042554,21.594153612181145,14.964153612181144,-27.85269816939746,-21.50238856664112
250.1,2.78,-16.34,19.68,0.1,-6.395,305.2101858736056,21.592092532003665,14.962092532003663,-27.395564958454205,-21.04225634548044
255.8,2.89,-20.6,20.38,0.06,-6.156666666666666,409.2319490254869,21.60808284202707,14.978082842027067,-27.177495925300978,-20.822862942532307
257.5,2.93,-23.11,10.78,0.04,-6.1,357.05472573839637,21.601226730481457,14.971226730481458,-27.115498695255177,-20.7604178084516
259.8,2.97,-17,14.55,0.12,-6.3925,325.4562091938703,21.596005888172922,14.966005888172923,-27.3968434947431,-21.043567729623216
265.1,3.05,-19.89,17.67,0.07,-6.48,411.4276445396146,21.60833322819986,14.978333228199858,-27.49422877106239,-21.14166630527997
267.5,3.08,-20.84,43,0.07,-6.01,310.57420911527987,21.593179026343837,14.963179026343836,-27.019737007887787,-20.663980191343935
269.4,3.1,-18.73,17.97,0.08,-6.175,306.7967343173405,21.592417847544166,14.962417847544165,-27.18052460300072,-20.825813326537553
271.8,3.12,-21.81,19.52,0.08,-6.19,361.11483698079445,21.601831317814227,14.971831317814225,-27.20417139617319,-20.849673522799378
278.1,3.16,-22.85,28.38,0.06,-6.32,327.1253846153849,21.59630690890108,14.96630690890108,-27.32616271232318,-20.97242712788066
282.8,3.19,-20.63,18.43,0.07,-6.158,410.6402488687798,21.608243745461163,14.978243745461164,-27.17895427670341,-20.82433182751232
284.9,3.2,-20.61,13.67,0.05,-6.036666666666667,384.0862337662305,21.605011225834026,14.975011225834026,-27.05710875412912,-20.70167014961667
307.2,3.3,-23.02,52.4,0.04,-6.4,393.53306962025323,21.606211215823546,14.976211215823547,-27.413900687323626,-21.060800223305066
327.9,3.54,-22.33,21.23,0.06,-6.203884297520662,281.74052631578945,21.586852189491264,14.956852189491265,-27.203498584041192,-20.848902533505182
332.5,3.6,-21.97,23.92,0.08,-6.207851239669422,265.6717184132812,21.582730357921907,14.952730357921906,-27.203456726264953,-20.848834595606313
340.1,3.67,-23.49,39.17,0.04,-6.212479338842975,276.0747833027376,21.585453626476472,14.95545362647647,-27.210580247243062,-20.85602169995301
356.8,3.83,-23.97,21.46,0.05,-6.22305785123967,298.8194765875563,21.590747160060452,14.960747160060452,-27.22597585052551,-20.87155101374518
372.2,3.97,-22.89,19.83,0.07,-6.232314049586777,304.6517454286394,21.59197721976618,14.961977219766176,-27.23620769328669,-20.88185739470694
383.8,4.07,-24.18,23.38,0.04,-6.238925619834711,304.5628400247067,21.591958822690113,14.961958822690114,-27.242662006265085,-20.88835375378688
392.1,4.15,-22.06,17.58,0.06,-6.244214876033058,345.567940688893,21.59943929039909,14.969439290399091,-27.25496226365619,-20.900781191267555
394.5,4.17,-24.04,14.18,0.14,-6.245537190082644,354.8882575059862,21.60089846354757,14.970898463547568,-27.257646009816835,-20.90349160330354
397.1,4.2,-23.9,16.95,0.19,-6.247520661157025,368.8687327316264,21.602948963150617,14.972948963150614,-27.261539967727924,-20.907423834285915
425.2,4.56,-24.49,26.09,0.04,-6.271322314049587,348.46541484716136,21.599901275185598,14.969901275185599,-27.281936455206832,-20.927934476232434
434.2,4.65,-24.38,13.97,0.06,-6.277272727272727,374.02516624955314,21.603666555802853,14.973666555802854,-27.29134614118248,-20.93742919970349
436.5,4.67,-23.87,26.01,0.07,-6.278595041322314,379.3437218448337,21.60438627188391,14.97438627188391,-27.293325760825,-20.939426256135228
446.5,4.76,-23.76,15.73,0.11,-6.284545454545454,403.27722202359655,21.607390070771526,14.977390070771524,-27.30201033822276,-20.948186366825812
449.5,4.79,-24.37,21.61,0.05,-6.286528925619835,411.2550554165176,21.60831364381514,14.97831364381514,-27.30483121260164,-20.95103144922702
451.2,4.8,-24.19,14.48,0.05,-6.287190082644628,413.9143332141579,21.608613589916285,14.978613589916284,-27.30576397015243,-20.95197217736942
452.8,4.83,-24.7,20.23,0.05,-6.289173553719008,421.89216660707893,21.609490740716026,14.979490740716024,-27.30854063836776,-20.954772474184182
453.8,4.85,-24.48,14.69,0.07,-6.290495867768595,427.21072220235953,21.610057307782398,14.980057307782399,-27.31037441925392,-20.956621780304513
455.8,4.89,-24.6,15.88,0.05,-6.293140495867768,383.2218225039627,21.604898469052344,14.974898469052343,-27.30805128942442,-20.954251180989772
475.9,5.03,-24.77,17.21,0.04,-6.302396694214876,319.60079539119124,21.59492505564168,14.964925055641682,-27.30761583250535,-20.953750444815277
477.9,5.05,-24.59,39.9,0.05,-6.303719008264463,319.38522207768074,21.594884507257103,14.964884507257102,-27.308871587564592,-20.955014148934815
485.5,5.14,-25.04,12.27,0.05,-6.3096694214876035,343.1778543905906,21.59905233393019,14.969052333930186,-27.318664491375493,-20.964897113352556
492.8,5.22,-24.29,25.8,0.09,-6.31495867768595,317.19710120068635,21.59446981253195,14.964469812531949,-27.319478829343538,-20.965688083789075
494.9,5.25,-23.84,12.71,0.03,-6.31694214876033,338.2965246929711,21.598245056929198,14.968245056929197,-27.32501483901231,-20.971283889276407
504.8,5.46,-24.28,18.05,0.05,-6.330826446280992,365.76594716801543,21.602507415196364,14.972507415196363,-27.34266376474816,-20.98907478364118
514.8,5.67,-24.94,13.46,0.03,-6.344710743801652,350.23446808510556,21.600179581824214,14.970179581824214,-27.354038188466905,-21.000508935550965
519.8,5.78,-24.78,26.64,0.05,-6.332,417.9835871802415,21.60906518200984,14.979065182009837,-27.35005603834561,-20.996556395168856
522.2,5.83,-25.24,25.04,0.05,-6.3950000000000005,298.41311685233427,21.59065966468726,14.960659664687258,-27.39420079846157,-21.040874305160294
525.5,5.9,-24.6,23.57,0.05,-6.386666666666667,282.82117946110844,21.587112580689382,14.957112580689381,-27.38266654195538,-21.029242499799924
531.9,6.04,-24.86,14.44,0.18,-6.3599999999999985,359.44685288640613,21.601584592838076,14.971584592838076,-27.370341838283498,-21.01692787921286
542.5,6.12,-24.29,12.26,0.05,-6.585,366.7434108711135,21.60264732117642,14.972647321176419,-27.5915958079097,-21.239633775426018
548.5,6.17,-24.2,29.44,0.04,-6.367999999999999,388.23640873486835,21.605545596528245,14.975545596528244,-27.381943762055577,-21.028630383389263
556.5,6.23,-24.84,13.59,0.03,-6.482,412.8283149127017,21.60849156221501,14.978491562215009,-27.49633719200965,-21.143789489749544
558.5,6.25,-24.62,18.12,0.06,-6.52,385.61383469485827,21.605209255289836,14.975209255289833,-27.530409007792755,-21.17806332537063
561.8,6.28,-24.14,32.94,0.03,-6.5,344.792114368092,21.599314271701985,14.969314271701984,-27.50522037275836,-21.15267325801611
567.8,6.34,-24.54,14.57,0.05,-6.399999999999999,377.05979806478763,21.604079694789682,14.974079694789681,-27.4118714396247,-21.05874437819833
597.5,6.49,-24.77,17.04,0.07,-6.442500000000001,340.18772860738216,21.598560574396384,14.968560574396383,-27.448218563101953,-21.095294382595775
603.2,6.51,-24.3,11.31,0.05,-6.474,329.9921782178217,21.5968168027385,14.9668168027385,-27.477392588781658,-21.12464806512544
648.2,6.64,-23.89,26.45,0.05,-6.486666666666668,380.37622881658905,21.604523659615285,14.974523659615286,-27.497127974387826,-21.144560603256323
659.5,6.67,-26.06,17.84,0.04,-6.326666666666666,386.6980021451555,21.605348851316815,14.975348851316815,-27.341297252789413,-20.98771713233402
664.5,6.69,-24.65,10.15,0.03,-6.219999999999996,390.91251769753313,21.605884151489732,14.975884151489732,-27.237396126198842,-20.883140656301688
685.2,6.75,-24.42,9.74,0.12,-6.087857142857143,403.55606435466575,21.60742296747367,14.97742296747367,-27.1095133881115,-20.75443220080953
693.2,6.8,-23.86,14.15,0.03,-6.134285714285714,338.66735435707824,21.598307201733547,14.968307201733545,-27.14627923766023,-20.79138113602688
738.8,7.03,-24.61,16.13,0.06,-6.0526923076923085,420.30489655172414,21.609318876231228,14.979318876231229,-27.07689786380542,-20.721615497752055
759.5,7.14,-25.01,11.69,0.04,-5.982142857142858,418.9295172413793,21.609168901426592,14.979168901426592,-27.007697854003588,-20.65196252377982
763.1,7.16,-25.11,12.5,0.03,-5.984285714285715,418.67944827586206,21.609141527416583,14.97914152741658,-27.009769313973763,-20.654047343431078
769.9,7.2,-24.55,12.86,0.05,-5.988571428571428,418.17931034482757,21.609086681179498,14.979086681179497,-27.013912140704672,-20.658216888302437
802.1,7.41,-24.95,12.83,0.07,-6.00875,415.55358620689657,21.608796572482376,14.978796572482374,-27.03338759918649,-20.67781774688886
839.2,7.62,-25.83,18.45,0.04,-5.807333333333333,412.9278620689655,21.608502774301066,14.978502774301063,-26.835951377835432,-20.479090001235726
847.2,7.67,-25.48,16.64,0.09,-5.834,412.3026896551724,21.608432270800712,14.978432270800713,-26.861986847350597,-20.505295096997553
878.1,7.83,-25.35,11.14,0.05,-5.986190476190476,410.3021379310345,21.608205215803125,14.978205215803124,-27.010742035068716,-20.65502055537851
880.5,7.84,-24.08,8.89,0.04,-5.996666666666666,410.1771034482759,21.608190951326662,14.97819095132666,-27.020983056417695,-20.665328383394964
882.9,7.86,-25.24,16.4,0.04,-6.017619047619048,409.92703448275864,21.608162396268337,14.978162396268335,-27.04146507511136,-20.685944015108962
885.2,7.87,-25.11,13.66,0.04,-6.028095238095238,409.802,21.608148105670544,14.978148105670543,-27.051706072441405,-20.696251818791666
888.5,7.89,-26.05,26.2,0.04,-6.049047619047618,409.5519310344828,21.608119498297803,14.978119498297804,-27.07218804303122,-20.7168674017713
892.2,7.91,-25.4,17.21,0.05,-6.07,409.30186206896553,21.60809085596888,14.978090855968878,-27.092669981478316,-20.73748295218692
894.5,7.92,-25.71,26.02,0.06,-6.0655,409.1768275862069,21.608076521675816,14.978076521675815,-27.08825151020491,-20.73303552899589
896.7,7.93,-25.63,19.96,0.06,-6.061000000000001,409.0517931034483,21.608062178619655,14.978062178619654,-27.083833030462078,-20.72858809722443
