Site_Name,Latitude,Longitude,Elevation_mabsl,Site_Comments,Sample_ID,Type,Start_Date,Start_Time_Zone,Collection_Date,Collection_Time_Zone,Phase,Depth_meters,Sample_Comments,d2H,d18O,D17O,d2H_Analytical_SD,d18O_Analytical_SD,D17O_Analytical_SD,WI_Analysis_Source,Project_ID
,-2.1839000000000,34.134600000000,1198.000000000000,,"IPL-17O- IPL-18W-422",River_or_stream,,,"2018-02-15 00:00:00",,Liquid,,,60.72000000000000,9.47393020900000,-0.0250491265539767,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,47.9768200000000,-123.477230000000,1243.000000000000,,IPL-17O-IPL-18W-015,River_or_stream,,,"2018-05-21 00:00:00",,Liquid,,,-92.82400000000000,-11.06461036120000,0.0222585157022843,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,48.2347000000000,-122.396000000000,41.000000000000,,IPL-17O-IPL-18W-018,Lake_or_pond,,,"2018-05-24 00:00:00",,Liquid,,,-44.17900000000000,-3.30487700270000,0.0138811904053297,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,65.0130000000000,-150.375090000000,166.000000000000,,IPL-17O-IPL-18W-049,River_or_stream,,,"2018-06-02 00:00:00",,Liquid,,,-139.49400000000000,-17.89392641980000,0.0204400272766306,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,65.0500000000000,-150.389000000000,166.000000000000,,IPL-17O-IPL-18W-050,River_or_stream,,,"2018-06-03 00:00:00",,Liquid,,,-135.57100000000000,-16.44524319970000,0.0130554253351907,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,65.5200000000000,-147.433690000000,770.000000000000,,IPL-17O-IPL-18W-052,River_or_stream,,,"2018-06-10 00:00:00",,Liquid,,,-150.35800000000000,-19.28677477450000,0.0362090992510477,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,44.2145000000000,-73.062900000000,239.000000000000,,IPL-17O-IPL-18W-067,River_or_stream,,,"2018-05-26 00:00:00",,Liquid,,,-75.99900000000000,-10.33102539890000,0.0233385801302761,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,-2.5511300000000,35.096990000000,1695.000000000000,,IPL-17O-IPL-18W-110,River_or_stream,,,"2018-06-30 00:00:00",,Liquid,,,-17.93000000000000,-3.67028399780000,0.016010149765258,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,41.0507500000000,-112.256000000000,1268.000000000000,,IPL-17O-IPL-18W-116,Lake_or_pond,,,"2018-06-24 00:00:00",,Liquid,,,-64.11900000000000,-2.04981189660000,0.00163688927786732,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,41.7283300000000,-70.093060000000,15.000000000000,,IPL-17O-IPL-18W-152,Lake_or_pond,,,"2018-07-10 00:00:00",,Liquid,,,-22.20100000000000,-2.36319158710000,0.0242928108423716,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,39.8813888900000,-75.427222220000,77.000000000000,,IPL-17O-IPL-18W-166,River_or_stream,,,"2018-07-28 00:00:00",,Liquid,,,-34.94100000000000,-6.02281377630000,0.0192595915582701,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,38.9822222200000,-77.051388890000,71.000000000000,,IPL-17O-IPL-18W-171,River_or_stream,,,"2018-07-20 00:00:00",,Liquid,,,-24.44700000000000,-4.86649710610000,0.0152755027191178,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,40.8722222200000,-74.113055560000,29.000000000000,,IPL-17O-IPL-18W-172,River_or_stream,,,"2018-05-19 00:00:00",,Liquid,,,-45.13000000000000,-6.21454416490000,0.00545709738776923,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,38.3588888900000,-79.084166670000,532.000000000000,,IPL-17O-IPL-18W-174,River_or_stream,,,"2018-08-01 00:00:00",,Liquid,,,-43.17500000000000,-6.37609249180000,0.0367926961947835,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,42.3019400000000,-71.119170000000,39.000000000000,,IPL-17O-IPL-18W-178,Lake_or_pond,,,"2018-07-01 00:00:00",,Liquid,,,-22.63000000000000,-0.46290036440000,0.0119733869440012,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,42.3069444400000,-71.119722220000,39.000000000000,,IPL-17O-IPL-18W-179,River_or_stream,,,,,Liquid,,,-48.66800000000000,-7.02401818510000,0.0260800520019933,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,47.6839000000000,-123.083900000000,1059.000000000000,,IPL-17O-IPL-18W-189,River_or_stream,,,"2018-08-03 00:00:00",,Liquid,,,-88.41100000000000,-12.03099018290000,0.0384910950463491,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,43.2816670000000,-110.657778000000,2332.000000000000,,IPL-17O-IPL-18W-196,River_or_stream,,,"2018-06-20 00:00:00",,Liquid,,,-129.22500000000000,-17.34475404420000,0.03121087191737,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,43.7650000000000,-110.750833000000,2476.000000000000,,IPL-17O-IPL-18W-197,River_or_stream,,,"2018-06-21 00:00:00",,Liquid,,,-133.33400000000000,-17.96926568600000,0.0247499193857434,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,41.7449100000000,-111.749320000000,1954.000000000000,,IPL-17O-IPL-18W-226,River_or_stream,,,"2018-08-07 00:00:00",,Liquid,,,-124.64300000000000,-16.07988121340000,0.0279110592298517,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,41.5233500000000,-109.469570000000,2074.000000000000,,IPL-17O-IPL-18W-228,River_or_stream,,,"2018-08-07 00:00:00",,Liquid,,,-119.70100000000000,-15.41535268650000,0.015181949711021,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,43.2674000000000,-110.655700000000,2332.000000000000,,IPL-17O-IPL-18W-245,River_or_stream,,,"2018-07-16 00:00:00",,Liquid,,,-108.96200000000000,-12.26346134400000,0.0273677957537335,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,44.6427300000000,-110.865450000000,2348.000000000000,,IPL-17O-IPL-18W-248,River_or_stream,,,"2018-08-03 00:00:00",,Liquid,,,-134.32300000000000,-17.77620247120000,0.0428352125112062,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,37.2024700000000,-112.983600000000,1821.000000000000,,IPL-17O-IPL-18W-249,River_or_stream,,,"2018-08-12 00:00:00",,Liquid,,,-94.05400000000000,-12.31120679600000,0.0286240025761639,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
,65.7491700000000,-156.596410000000,49.000000000000,,IPL-17O-IPL-18W-251,River_or_stream,,,"2018-07-05 00:00:00",,Liquid,,,-132.77200000000000,-17.73048922920000,0.0419782055687801,0.3,0.9,0.01,"University of Michigan IsoPaleoLab",00287
