age,ob.am
2.51,24.23949002931021
2.5199999999999996,24.229915733966738
2.53,24.22029164686244
2.5399999999999996,24.21061806429567
2.55,24.200895282564787
2.5599999999999996,24.19112359796815
2.57,24.181303306804125
2.5799999999999996,24.17143470537104
2.59,24.161518647518076
2.5999999999999996,24.151555208668096
2.61,24.141543517480038
2.6199999999999997,24.131482702612836
2.63,24.12137189272542
2.6399999999999997,24.11121021647673
2.65,24.100996802525707
2.6599999999999997,24.09073077953127
2.67,24.080415891317973
2.6799999999999997,24.070055242912815
2.69,24.05964700477844
2.6999999999999997,24.049189347377474
2.71,24.038680441172563
2.7199999999999998,24.02811845662633
2.73,24.017501564201424
2.7399999999999998,24.006827934360462
2.75,23.996064024309018
2.76,23.98519286350616
2.7699999999999996,23.974237480794788
2.78,23.96322090501778
2.79,23.952166165018053
2.8,23.94109628963849
2.8099999999999996,23.93003430772199
2.82,23.91900324811145
2.8299999999999996,23.907893134642435
2.84,23.896617017834643
2.8499999999999996,23.8852324665572
2.86,23.873797049679215
2.8699999999999997,23.862368336069803
2.88,23.85100389459809
2.8899999999999997,23.839761294133176
2.9,23.828698103544195
2.9099999999999997,23.817524589906753
2.92,23.806016563339107
2.9299999999999997,23.79432990727435
2.94,23.78262050514556
2.9499999999999997,23.771044240385827
2.96,23.75975699642823
2.9699999999999998,23.74891465670586
2.98,23.7386731046518
2.9899999999999998,23.728541682122295
3,23.718082482329038
3.01,23.707530515738263
3.0199999999999996,23.697120792816193
3.03,23.68708832402907
3.04,23.67766811984312
3.05,23.669095190724573
3.0599999999999996,23.661604547139667
3.07,23.654779521933385
3.08,23.648145284546995
3.09,23.641849600341185
3.0999999999999996,23.63604023467663
3.11,23.63086495291401
3.1199999999999997,23.62647152041398
3.13,23.623007702537237
3.1399999999999997,23.620467417210303
3.15,23.618706661464866
3.1599999999999997,23.617666319319323
3.17,23.617287274792073
3.1799999999999997,23.617510411901524
3.19,23.61827661466607
3.1999999999999997,23.61952676710411
3.21,23.62120175323405
3.2199999999999998,23.623564180858295
3.2299999999999995,23.62682487742897
3.2399999999999998,23.630847056439045
3.25,23.635493931381486
3.26,23.64062871574927
3.2699999999999996,23.646114623035356
3.28,23.65181486673272
3.29,23.657592660334338
3.3,23.663905450756086
3.3099999999999996,23.671150877248156
3.32,23.67910244180495
3.33,23.68753364642089
3.34,23.696217993090386
3.3499999999999996,23.704928983807854
3.36,23.713440120567704
3.3699999999999997,23.72152490536435
3.38,23.72981225467857
3.3899999999999997,23.738878148738632
3.4,23.748416685160194
3.4099999999999997,23.758121961558945
3.42,23.767688075550552
3.4299999999999997,23.776809124750663
3.44,23.78517920677496
3.4499999999999997,23.793249302668027
3.46,23.801567891067656
3.4699999999999998,23.809975315979305
3.4799999999999995,23.81831192140845
3.4899999999999998,23.826418051360555
3.5,23.834134049841087
3.51,23.841300260855512
3.5199999999999996,23.847757028409298
3.53,23.853790898360995
3.54,23.859732982248445
3.55,23.86549047259606
3.5599999999999996,23.87097056192825
3.57,23.87608044276944
3.58,23.880727307644015
3.59,23.884818349076415
3.5999999999999996,23.888260759591034
3.61,23.891202724981593
3.62,23.893823755450423
3.63,23.896078030134866
3.6399999999999997,23.89791972817225
3.65,23.899303028699926
3.66,23.900182110855226
3.67,23.90051115377549
3.6799999999999997,23.900244336598057
3.6899999999999995,23.89932457530816
3.6999999999999997,23.89777310734852
3.71,23.895661594042682
3.7199999999999998,23.893061696714213
3.7299999999999995,23.890045076686665
3.7399999999999998,23.886683395283587
3.75,23.88304831382854
3.76,23.879036545524215
3.7699999999999996,23.87451980723543
3.78,23.86953226577892
3.79,23.864108087971427
3.8,23.858281440629682
3.8099999999999996,23.85208649057044
3.82,23.845557404610414
3.83,23.838728349566363
3.84,23.83136491958171
3.8499999999999996,23.823297537761793
3.86,23.814657614366237
3.87,23.805576559654646
3.88,23.796185783886635
3.8899999999999997,23.786616697321826
3.9,23.77700071021982
3.91,23.767469232840238
3.92,23.757517642318778
3.9299999999999997,23.746726695263952
3.9399999999999995,23.73535587114454
3.9499999999999997,23.72366464942937
3.96,23.711912509587236
3.9699999999999998,23.70035893108696
3.9799999999999995,23.689263393397322
3.9899999999999998,23.678885375987143
4,23.668525738251134
4.01,23.657536323912716
4.02,23.646253088933786
4.029999999999999,23.635011989276233
4.04,23.624148980901925
4.05,23.61400001977276
4.06,23.60490106185062
4.07,23.596310611252036
4.08,23.587601016279788
4.09,23.578978999175124
4.1,23.570651282179302
4.109999999999999,23.562824587533573
4.12,23.555705637479196
4.13,23.54950115425742
4.14,23.544417860109494
4.15,23.540106515289704
4.16,23.536150962933856
4.17,23.532657549605503
4.18,23.529732621868213
4.1899999999999995,23.52748252628554
4.199999999999999,23.526013609421028
4.21,23.525432217838244
4.22,23.525844698100748
4.2299999999999995,23.527304481592815
4.24,23.529730457328796
4.25,23.533027158317385
4.26,23.537099117567266
4.27,23.541850868087128
4.279999999999999,23.54718694288565
4.29,23.553011874971514
4.3,23.55923019735342
4.31,23.566248026701036
4.32,23.57438214407508
4.33,23.58340307907077
4.34,23.59308136128332
4.35,23.603187520307966
4.359999999999999,23.61349208573992
4.37,23.623765587174407
4.38,23.634511193930003
4.39,23.646232022922568
4.4,23.658698525143244
4.41,23.671681151583165
4.42,23.68495035323348
4.43,23.69827658108534
4.4399999999999995,23.71143028612987
4.449999999999999,23.724181919358223
4.46,23.737113547259046
4.47,23.75079700211434
4.4799999999999995,23.764987383605288
4.49,23.77943979141307
4.5,23.79390932521887
4.51,23.808151084703862
4.52,23.821920169549237
