age,sig.am
2.51,75.76930261374149
2.5199999999999996,75.86386942931254
2.53,75.95777168740844
2.5399999999999996,76.05104515456868
2.55,76.14372559733285
2.5599999999999996,76.23584878224041
2.57,76.32745047583096
2.5799999999999996,76.418566444644
2.59,76.50923245521903
2.5999999999999996,76.59948427409564
2.61,76.68935766781333
2.6199999999999997,76.77888840291165
2.63,76.86809449244373
2.6399999999999997,76.95682717666006
2.65,77.04502384364993
2.6599999999999997,77.13265809707428
2.67,77.21970354059405
2.6799999999999997,77.30613377787014
2.69,77.39192241256345
2.6999999999999997,77.47704304833489
2.71,77.56146928884542
2.7199999999999998,77.6451747377559
2.73,77.72813299872728
2.7399999999999998,77.81031767542046
2.75,77.89170237149638
2.76,77.97226069061593
2.7699999999999996,78.05196623644004
2.78,78.13079261262959
2.79,78.20876254105497
2.8,78.28741078542818
2.8099999999999996,78.36727447200565
2.82,78.44807828419998
2.8299999999999996,78.52954690542384
2.84,78.6114050190898
2.8499999999999996,78.6933773086105
2.86,78.77518845739857
2.8699999999999997,78.85656314886663
2.88,78.93722606642729
2.8899999999999997,79.01690189349317
2.9,79.09531531347693
2.9099999999999997,79.17219100979113
2.92,79.24725366584845
2.9299999999999997,79.32022796506146
2.94,79.39083859084283
2.9499999999999997,79.45881022660515
2.96,79.52451618944606
2.9699999999999998,79.59146650226248
2.98,79.65976241099773
2.9899999999999998,79.72884469872952
3,79.79815414853552
3.01,79.86713154349346
3.0199999999999996,79.93521766668101
3.03,80.0018533011759
3.04,80.0664792300558
3.05,80.1285362363984
3.0599999999999996,80.18746510328143
3.07,80.24270661378256
3.08,80.2937015509795
3.09,80.33989069794997
3.0999999999999996,80.38071483777163
3.11,80.41561475352219
3.1199999999999997,80.44411719087725
3.13,80.46726969956264
3.1399999999999997,80.48579769546032
3.15,80.50003119672859
3.1599999999999997,80.51030022152567
3.17,80.51693478800985
3.1799999999999997,80.52026491433935
3.19,80.52062061867247
3.1999999999999997,80.51833191916747
3.21,80.51372883398258
3.2199999999999998,80.50714138127609
3.2299999999999995,80.49889957920627
3.2399999999999998,80.48933344593134
3.25,80.47877299960959
3.26,80.46754825839929
3.2699999999999996,80.45598924045866
3.28,80.44440287549457
3.29,80.43039182090511
3.3,80.41240339067963
3.3099999999999996,80.39075310632548
3.32,80.36575648935012
3.33,80.33772906126092
3.34,80.30698634356533
3.3499999999999996,80.27384385777067
3.36,80.23861712538444
3.3699999999999997,80.20162166791397
3.38,80.16317300686671
3.3899999999999997,80.12358666375006
3.4,80.08317816007138
3.4099999999999997,80.04226301733814
3.42,80.00115675705771
3.4299999999999997,79.96017490073751
3.44,79.91963296988492
3.4499999999999997,79.87984648600735
3.46,79.83401953683523
3.4699999999999998,79.7763602231491
3.4799999999999995,79.70869008603167
3.4899999999999998,79.63283066656554
3.5,79.55060350583342
3.51,79.463830144918
3.5199999999999996,79.37433212490187
3.53,79.28393098686776
3.54,79.19444827189828
3.55,79.10770552107613
3.5599999999999996,79.02552427548397
3.57,78.94972607620447
3.58,78.88213246432026
3.59,78.82456498091406
3.5999999999999996,78.77884516706845
3.61,78.74555532950258
3.62,78.71464668129587
3.63,78.68398014274952
3.6399999999999997,78.65413008104893
3.65,78.62567086337953
3.66,78.59917685692676
3.67,78.57522242887607
3.6799999999999997,78.55438194641286
3.6899999999999995,78.53722977672261
3.6999999999999997,78.52434028699071
3.71,78.51628784440261
3.7199999999999998,78.51364681614375
3.7299999999999995,78.51699156939954
3.7399999999999998,78.52691259885955
3.75,78.54373685372443
3.76,78.56693375881659
3.7699999999999996,78.5958636076542
3.78,78.62988669375534
3.79,78.66836331063818
3.8,78.71065375182086
3.8099999999999996,78.75611831082145
3.82,78.80411728115813
3.83,78.85401095634901
3.84,78.90515962991225
3.8499999999999996,78.95692359536594
3.86,79.00866314622822
3.87,79.05973857601724
3.88,79.10951017825111
3.8899999999999997,79.15733824644796
3.9,79.20296136622798
3.91,79.25790414521022
3.92,79.32639095094436
3.9299999999999997,79.40645155500714
3.9399999999999995,79.49611572897535
3.9499999999999997,79.59341324442578
3.96,79.6963738729352
3.9699999999999998,79.80302738608037
3.9799999999999995,79.91140355543807
3.9899999999999998,80.01953215258509
4,80.1254429490982
4.01,80.22716571655418
4.02,80.32273022652976
4.029999999999999,80.41016625060178
4.04,80.48750356034701
4.05,80.55277192734218
4.06,80.60407592510356
4.07,80.64861233974499
4.08,80.69192990133195
4.09,80.7337462443229
4.1,80.77377900317634
4.109999999999999,80.81174581235074
4.12,80.84736430630457
4.13,80.8803521194963
4.14,80.91042688638443
4.15,80.93730624142736
4.16,80.96070781908365
4.17,80.98034925381175
4.18,80.99594818007013
4.1899999999999995,81.00722223231726
4.199999999999999,81.01388904501162
4.21,81.0156662526117
4.22,81.01227148957594
4.2299999999999995,81.00339251117244
4.24,80.98796591902574
4.25,80.965994263332007
4.26,80.93804926375581
4.27,80.9047026399618
4.279999999999999,80.86652611161459
4.29,80.824091398378755
4.3,80.77797021991896
4.31,80.72873429589977
4.32,80.67695534598582
4.33,80.6232050898417
4.34,80.56805524713208
4.35,80.51207753752152
4.359999999999999,80.45584368067463
4.37,80.39992539625607
4.38,80.34489440393041
4.39,80.29132242336229
4.4,80.23531736287111
4.41,80.17120858112402
4.42,80.09994489037355
4.43,80.02253093319257
4.4399999999999995,79.93997135215386
4.449999999999999,79.85327078983026
4.46,79.7634338887946
4.47,79.67146529161967
4.4799999999999995,79.5783696408783
4.49,79.48515157914329
4.5,79.3928157489875
4.51,79.30236679298372
4.52,79.21480935370474
