age,MAT,Tsoil,MAP,PCQ_pf,d18p,pore,z_m,ha,E_s
2.3866,10.2653718095397,18.928788187172994,309.6890758515642,0.2154035487939611,-17.516528209000224,0.4,0.4304305388782519,0.3014546183316532,4.909424781696539e-10
2.46544,12.880896578568205,19.134265334606294,316.6252179725075,0.16539996411745553,-18.986195917461615,0.4,0.7109597862743356,0.28467929546105664,3.7830929040789987e-10
2.54698,14.292986968575853,21.953149339239964,340.281777785455,0.17750380852508055,-18.774353066668642,0.4,0.5888945883347333,0.28039371285306,4.4295839548715714e-10
2.716,14.918130243485347,22.597283519461826,280.73880140878975,0.22063011831770157,-17.10375319808172,0.4,0.5407486994456596,0.29389462072693356,4.589222505814417e-10
2.7754000000000003,15.450856259107972,23.471028391589442,378.50124369773886,0.17561231760285648,-18.599208454114972,0.4,0.6021949468788285,0.29060163166630426,4.692641993135253e-10
2.8024,14.055701029220979,21.989154772193103,351.42982592388273,0.20544665312805097,-17.77412475650728,0.4,0.42351687998842685,0.2954372945103532,5.300053867388643e-10
2.8267,15.333074978348316,21.789062289018016,309.6165481456472,0.15579811334289104,-19.315731947602956,0.4,0.7547648525325699,0.2858136026782989,3.4980191022023736e-10
2.8834,13.970452979147934,21.62172359441555,357.2130445338939,0.19437609846881387,-17.735255786722487,0.4,0.5190695983588801,0.28858067609038723,4.953977952538736e-10
2.9104,10.946520084830745,19.260497162536904,315.6968731985749,0.1944757016425367,-19.066249399389662,0.4,0.4651322811221044,0.3028867702683429,4.582515355919727e-10
3.0292,13.03102910745211,19.93165349074752,293.08084093527776,0.1954589642896322,-18.924354133280303,0.4,0.6091531506165041,0.29252757217799435,3.974841504860337e-10
3.075,9.394170374729544,17.617430275903608,295.07534504875974,0.21299725590822416,-18.933231628855484,0.4,0.4012968432886051,0.29132758666096403,4.5086969456446035e-10
3.10222,14.05432459279244,20.93608829664774,309.08287568040635,0.1604344676948448,-20.50857160615763,0.4,0.6265938873563743,0.30754905958963363,3.589383356049725e-10
3.15231,15.288455061448289,22.495463971526974,289.4016592004473,0.23074509008790006,-16.81063970055317,0.4,0.5434832957687988,0.3022723432974886,4.852750533745318e-10
3.19885,15.987096713335948,23.199677825076925,361.30198062587544,0.16686834606930828,-17.098287864047727,0.4,0.6935851502640071,0.28516485337161446,4.45746451276079e-10
3.3425,17.466344443585484,25.177371497143653,348.755418259346,0.18274302960446226,-17.76040884435328,0.4,0.6574953080092507,0.2934847712765185,4.682755850888588e-10
3.38625,15.04640356969159,22.798651139574243,294.4284209740395,0.20351790800522662,-19.506054561201978,0.4,0.5918518861321311,0.28565611104388805,4.438896917921362e-10
3.43625,17.094428691504852,25.861268601633466,330.38610479986795,0.2540486225131276,-17.94051771537838,0.4,0.5113880283502382,0.2989860438055165,5.303300672704267e-10
3.44875,17.385080369872853,25.37617610424249,390.45512682260147,0.15886439450227707,-19.222272677959054,0.4,0.594631156146871,0.29619669860813946,4.678698033395841e-10
3.4675,17.430031894655443,25.32380778569194,395.946539461151,0.15809028282202872,-18.351841740473215,0.4,0.6156261934061682,0.30349947063464144,4.565640839341778e-10
3.48313,17.31587978273485,24.391577658484504,414.45609299928054,0.13222172831250284,-18.696073695276255,0.4,0.7128275011190112,0.2746888003119066,4.1691827329722897e-10
3.49875,15.203292054362713,22.274526497162277,392.07593851954744,0.13581176778370854,-17.90023812470152,0.4,0.7410151755926796,0.28967850307720655,4.002861972186322e-10
3.51438,10.716669221210937,18.262462036900946,309.10304067139356,0.14559761359810455,-19.988289870166216,0.4,0.6037881884398766,0.29173781613700783,3.4407542360323575e-10
