age,RH,RH.sd,d18p,d18p.sd,Dp17p,Dp17p.sd,f,f.sd,Tsoil,Tsoil.sd
-7,0.6604354798715681,0.016302854026206445,-26.616400938080783,0.27355819096988127,29.067067112847102,5.626792868470785,0.2784008588627047,0.04819342624068044,20.371849866704824,0.6125178482406691
-6.9,0.6622728230939394,0.017643186312979335,-26.660508842638542,0.27596689271139774,29.066528250442406,5.62686563608528,0.2814319704332082,0.052675783022034815,20.07575439825465,0.6384338025594156
-6.8,0.6613254381037321,0.017152461339469124,-26.740071751944495,0.29431999816530774,29.0655217405736,5.6280215750239675,0.27845727983933916,0.0490689427446457,19.686509952934536,0.8028455246404973
-6.7,0.6580870786027312,0.015366136921394699,-26.844271289795312,0.3182671271582514,29.064263861456904,5.6294577547672695,0.27181740619260364,0.040689821475085354,19.2127788124822,1.1037958197058497
-6.6,0.6630176973337214,0.01908892717399185,-26.988086266553598,0.3622149898526027,29.062594456972523,5.631455260054,0.28226116319546235,0.05570548209251129,18.828705605649382,1.1597839401449055
-6.5,0.6597586200940864,0.017372174444305912,-27.12250620187229,0.42234332893729953,29.06105467738045,5.633575572659873,0.27843952848419273,0.051287229218607726,18.43493860247546,1.021359496018298
-6.4,0.6580751571277547,0.01711731121904403,-27.25157910376137,0.5160178560229076,29.059545210041307,5.6359026070733815,0.27528557886705046,0.04848021604159506,18.279375160782195,0.9125230662493325
-6.3,0.6562978662226996,0.01739474835245528,-27.359847163592736,0.6346380544917916,29.057781443288228,5.638540916321669,0.2706604254794701,0.04364811600911029,18.288959339892177,0.9137324398254426
-6.2,0.6627352228257571,0.02236110924359746,-27.448834573488146,0.7317504457503731,29.055978223878743,5.641449094123861,0.2808216059599188,0.05818670031664925,18.654172423893563,0.9951232925072955
-6.1,0.6587875848568711,0.02112450813759874,-27.490241561980103,0.8155583051817852,29.054310406347103,5.644172885903809,0.27409105720470217,0.05039422872643237,18.88756702852491,1.1336534965491538
-6,0.6530929157321427,0.019255881538771436,-27.506368413942436,0.9099551139361052,29.05312645147451,5.647569117430779,0.26426673222523195,0.03913027244738272,19.066641150845076,1.3565905560731883
-5.9,0.6540944802975456,0.021189229726928542,-27.51862090990035,1.0166659297819962,29.052644864539225,5.650372325139434,0.26819939465270354,0.045121019113459455,19.648125227462682,1.4743751745615223
-5.8,0.6468833483210286,0.020017457907947702,-27.511478207518245,1.1337913725014532,29.05214228650191,5.65350498186426,0.2566945122372799,0.03316762087335313,20.12000624964466,1.6122184354971703
-5.7,0.6460063206406269,0.022692296045197142,-27.517728986876044,1.2688185120979467,29.05146388763321,5.656063369152673,0.2510597259814251,0.029045052987469646,20.77906045089294,1.7396662407801289
-5.6,0.6455290096140055,0.024279956288284242,-27.548735630913537,1.402383673785355,29.050926360128404,5.659044455901754,0.25778551142091877,0.037118497678141564,21.649951045497446,1.692883243209469
-5.5,0.6410672783690508,0.025861423309827943,-27.62270986171417,1.5206746319663493,29.050001595502977,5.662621138737677,0.25186643678063425,0.031788180869302074,22.58183789124998,1.5741728670919852
-5.4,0.6394928212703638,0.027739863730366344,-27.723578471303703,1.625141798832675,29.049446851566206,5.666531130661874,0.25231969538930205,0.033973389260555126,23.431069540355526,1.3587931209995838
-5.3,0.6325711249029975,0.02956960768574654,-27.826762374813985,1.7220870772471153,29.048456161280015,5.670700564377392,0.24155119877655887,0.026151415554171168,24.031467688846625,1.206471932684523
-5.2,0.6195800842267455,0.03407088078668708,-27.916672341878776,1.8243432696331943,29.047787906824336,5.675357940900214,0.21802971402003063,0.03268335709012911,24.359928749625276,1.1219296453791274
-5.1,0.6201510830584327,0.035944358856214595,-28.022533652308212,1.933822438574711,29.046536868204868,5.680183317741152,0.2200538512598357,0.031900705256013746,24.787980662206973,1.213069456679675
-5,0.6218408156024772,0.03862530935564481,-28.128911127022498,2.024043092287788,29.04478483664985,5.684879110005274,0.23347400435218665,0.028865019719866387,25.034785583283384,1.3330271012522816
-4.9,0.6228598385949077,0.039554326359617684,-28.217472753420644,2.1028366294746044,29.042914110018074,5.689333825969098,0.23929146399931986,0.03196435641354321,25.051506706020174,1.4435253468863878
-4.8,0.623127966280821,0.040414154625406457,-28.300639544900985,2.181203793557078,29.040922613855454,5.693426008003493,0.2414558727644762,0.03469860442545639,24.867950751843384,1.4894880206613388
-4.699999999999999,0.618234043248565,0.04076288383956794,-28.376322567989213,2.260992658955162,29.038974847605804,5.697617035434427,0.23319264263108858,0.030411475938708184,24.327835321197135,1.4174207310227125
-4.6,0.6161282960775424,0.04264951669545097,-28.455099638406363,2.3320556874928045,29.0366194507934,5.701763951692898,0.2342848964980104,0.03189978172453583,23.650691562857602,1.3214611550751243
-4.5,0.6229803958252119,0.04087898301667892,-28.53133565457956,2.3829256023218046,29.034456534175376,5.705762986862915,0.24949097263344586,0.046143393618855846,22.98202362013758,1.2283928090055767
-4.4,0.6205176597557566,0.040973921248780014,-28.56602042592839,2.4173892214851036,29.031837198522847,5.7102860496081895,0.2482272985501897,0.04547602676341534,22.235076208938093,1.298976738087115
-4.3,0.6187249759240957,0.041774787050249174,-28.606159236789185,2.468260222605576,29.02903505170473,5.714750678498808,0.2509789208541379,0.04877162404790915,21.60965895921508,1.433872136752705
-4.199999999999999,0.618882969821211,0.042160375131524944,-28.661169295298983,2.520033524510218,29.026355686225273,5.719557426358812,0.25632695996586075,0.05492726625861975,21.247428308915993,1.5821232454448273
