"","age","d13C","d18O","site","st","st.sd","d18sw","d18sw.se","d18sw.low","d18sw.high"
"1",2.797,-6.6085,-8.569,"Lantian",16.3312202676154,2.76874523083286,-9.13981193905961,0.588559661873345,-9.72837160093295,-8.55125227718626
"2",2.8125,-4.797,-8.8725,"Lantian",16.4383935899623,2.56201448686646,-9.43391794578009,0.549073328591195,-9.98299127437128,-8.8848446171889
"3",2.86875,-5.93,-8.701,"Lantian",16.8937764679556,2.03913585690514,-9.16903558744539,0.460832490856951,-9.62986807830234,-8.70820309658844
"4",2.9,-6.8695,-8.4755,"Lantian",17.1888137636364,1.87760926734685,-8.88680132551198,0.440055113415929,-9.32685643892791,-8.44674621209605
"5",2.93125,-6.9255,-8.6345,"Lantian",17.5117952939188,1.79059662822499,-8.98235880447727,0.419326073403748,-9.40168487788102,-8.56303273107352
"6",2.9625,-6.9685,-8.6245,"Lantian",17.8610716906838,1.76481095017794,-8.90454464274809,0.416070444055881,-9.32061508680397,-8.48847419869221
"7",2.99375,-7.474,-8.8955,"Lantian",18.2349935858123,1.78568718531992,-9.10299453133428,0.416997096422506,-9.51999162775678,-8.68599743491177
"8",3.025,-7.08,-9.015,"Lantian",18.6319116111854,1.83728230502013,-9.15101575182355,0.422499013415693,-9.57351476523924,-8.72851673840786
"9",3.05625,-8.1345,-8.9295,"Lantian",19.0503301177599,1.9015755471824,-8.98827733497238,0.433501559598625,-9.421778894571,-8.55477577537375
"10",3.0875,-7.6125,-9.083,"Lantian",19.4916699524856,1.96833258010284,-9.06291304989252,0.440430280681849,-9.50334333057437,-8.62248276921067
"11",3.11875,-7.8765,-8.8275,"Lantian",19.9509247445034,2.02507985485434,-8.72397022166015,0.453355493582037,-9.17732571524219,-8.27061472807812
"12",3.15,-7.893,-8.995,"Lantian",20.4143538595911,2.03419511640501,-8.79878987244066,0.449696122445459,-9.24848599488612,-8.3490937499952
"13",3.18125,-7.874,-8.4445,"Lantian",20.8694399295216,2.00798938680463,-8.16952929843219,0.450165266864293,-8.61969456529649,-7.7193640315679
"14",3.2125,-7.836,-8.416,"Lantian",21.3088385036333,1.97372236461098,-8.05951456823399,0.448935243187042,-8.50844981142104,-7.61057932504695
"15",3.24375,-8.4585,-8.8935,"Lantian",21.7252051312646,1.95978208428534,-8.45502634843347,0.436840599052286,-8.89186694748576,-8.01818574938119
"16",3.2866668,-8.2705,-9.065,"Lantian",22.2460232356791,2.00894088434816,-8.53059622155403,0.44516145623193,-8.97575767778596,-8.0854347653221
"17",3.3325003,-8.248,-8.7095,"Lantian",22.7174900226595,2.14772021955054,-8.09091960144675,0.465002571975816,-8.55592217342256,-7.62591702947093
"18",3.3783338,-8.6635,-8.4195,"Lantian",23.0787444594622,2.31382060810654,-7.7379185604309,0.484207673166937,-8.22212623359783,-7.25371088726396
"19",3.4241673,-8.1915,-9.0515,"Lantian",23.3066148234858,2.41667989631752,-8.33138246742863,0.50364518785897,-8.8350276552876,-7.82773727956966
"20",3.4700008,-8.1555,-9.282,"Lantian",23.377929392129,2.37490653262798,-8.54554593477208,0.501480312789997,-9.04702624756208,-8.04406562198209
"21",3.5616678,-8.0995,-8.8495,"Lantian",23.4159691601796,2.04529936478957,-8.10546598938634,0.449248825113249,-8.55471481449959,-7.65621716427309
"22",3.5876924,-9.4915,-9.9435,"Lantian",23.4173864122007,2.17496342178172,-9.19904068392922,0.469168502732198,-9.66820918666142,-8.72987218119702
"23",3.6261544,-9.719,-9.7025,"Lantian",23.4555557368081,2.43489930014664,-8.95098900902861,0.506445855905033,-9.45743486493365,-8.44454315312358
"24",3.6646164,-10.05,-9.304,"Lantian",23.2627158629095,2.66703057917211,-8.58356984770358,0.545340986432057,-9.12891083413564,-8.03822886127152
"25",3.68382716,-9.7175,-10.068,"Lantian",22.9840612394159,2.73177180754876,-9.40142529251468,0.550671472779048,-9.95209676529372,-8.85075381973563
"26",3.70296296,-9.3925,-9.7495,"Lantian",22.4151188984306,2.66082111672516,-9.18738630933185,0.548849361990871,-9.73623567132272,-8.63853694734098
"27",3.72209876,-9.9135,-9.8285,"Lantian",21.5403899306208,2.46079030135651,-9.43088165610593,0.51471381795367,-9.9455954740596,-8.91616783815226
"28",3.81777776,-9.795,-9.9055,"Lantian",18.2752724912604,2.40208842528941,-10.1096866477086,0.518917916399527,-10.6286045641081,-9.59076873130909
"29",3.85604936,-9.4505,-9.729,"Lantian",17.6768194160145,2.53299413529024,-10.0540153849479,0.541176610492564,-10.5951919954405,-9.51283877445534
"30",3.89432096,-9.786,-10.0015,"Lantian",17.1500068618823,2.64768493079423,-10.4226666843993,0.557132546514321,-10.9797992309136,-9.86553413788499
"31",3.93259256,-9.4585,-9.94,"Lantian",16.7464180945253,2.71681738015831,-10.4244419112571,0.575460179006713,-10.9999020902638,-9.84898173225038
"32",3.95172836,-9.683,-10.4095,"Lantian",16.6120029785311,2.7207970753875,-10.9329929758342,0.576216068231226,-11.5092090440654,-10.3567769076029
"33",3.97086416,-8.8785,-9.888,"Lantian",16.5223228469806,2.70530720800524,-10.4207221647168,0.570844620859467,-10.9915667855762,-9.84987754385729
"34",4.0007145,-9.2255,-10.1235,"Lantian",16.4651852177128,2.64913670990533,-10.6809514019687,0.565163611640143,-11.2461150136089,-10.1157877903286
"35",4.0221435,-9.301,-10.1145,"Lantian",16.4812592936223,2.5907739824573,-10.6618153944836,0.549975794050657,-11.2117911885342,-10.1118396004329
"36",4.032858,-9.278,-10.025,"Lantian",16.5057831258434,2.55772802227096,-10.5681821239426,0.546299106862556,-11.1144812308051,-10.02188301708
"37",4.0435725,-9.314,-9.9795,"Lantian",16.5406497962044,2.52296842995096,-10.514025417421,0.534924813991762,-11.0489502314127,-9.97910060342921
"38",4.0650015,-9.2685,-10.254,"Lantian",16.6394665772336,2.45094660278414,-10.7712678778589,0.528429776966216,-11.2996976548251,-10.2428381008927
"39",4.10023259999999,-9.7465,-10.5385,"Lantian",16.8773540102232,2.33714998466017,-11.0142144658632,0.50782999750128,-11.5220444633645,-10.506384468362
"40",4.16767459999999,-9.4145,-10.142,"Lantian",17.537749338321,2.19911044330168,-10.484878847356,0.484207798353267,-10.9690866457092,-10.0006710490027
"41",4.23511659999999,-9.212,-10.124,"Lantian",18.3655124581627,2.20947814730321,-10.3145369004271,0.481449458307007,-10.7959863587341,-9.83308744212014
"42",4.30255859999999,-9.58,-9.811,"Lantian",19.2393738221231,2.28996611151569,-9.84041555754219,0.487509763566975,-10.3279253211092,-9.35290579397521
"43",4.37,-9.454,-10.3345,"Lantian",20.0634928149387,2.29232717936698,-10.2099476762116,0.495801523094362,-10.7057491993059,-9.7141461531172
"44",4.4149275,-9.9325,-10.118,"Lantian",20.7771086411473,2.24404048729707,-9.8566145414985,0.478566579755922,-10.3351811212544,-9.37804796174258
"45",4.459855,-9.4215,-10.7425,"Lantian",21.5852301757607,2.20851866855414,-10.3347461171402,0.470287810114262,-10.8050339272545,-9.86445830702596
"46",4.5047825,-9.357,-10.791,"Lantian",22.3312768773767,2.18408823415095,-10.2428815707628,0.472662494604901,-10.7155440653677,-9.77021907615794
"47",4.54971,-9.447,-10.5405,"Lantian",23.1061489079283,2.13428395414851,-9.85795873391802,0.461818384684947,-10.319777118603,-9.39614034923307
"48",4.5946375,-9.049,-9.011,"Lantian",24.0114647678288,2.04643110759162,-8.15976427782313,0.448260172256479,-8.60802445007961,-7.71150410556665
"49",4.639565,-8.515,-8.189,"Lantian",25.006692848208,1.97390643348052,-7.15349845158082,0.431173076365896,-7.58467152794672,-6.72232537521493
"50",4.68744185999999,-9.407,-9.5305,"Lantian",26.0823666673375,1.96256628864148,-8.309166570962,0.433105278745866,-8.74227184970786,-7.87606129221613
"51",4.76186045999999,-8.9395,-8.3705,"Lantian",27.5767998154156,2.10308066676578,-6.88626497163995,0.451359203531271,-7.33762417517122,-6.43490576810867
"52",4.83627905999999,-9.3465,-10.202,"Lantian",28.556595690961,2.29746808246693,-8.54583704835209,0.475486740615478,-9.02132378896757,-8.07035030773661
"53",4.91069765999999,-9.67,-10.186,"Lantian",28.809396261514,2.34330192548546,-8.4789143643026,0.47852098440042,-8.95743534870302,-8.00039337990218
"54",4.98511625999999,-9.444,-9.3825,"Lantian",28.6920394427707,2.31488852881987,-7.69821642060743,0.480240129938892,-8.17845655054632,-7.21797629066853
"55",5.03428568,-9.629,-10.121,"Lantian",28.3926127025924,2.30073921334991,-8.50013615755492,0.480606670288351,-8.98074282784327,-8.01952948726657
"56",5.07714278,-9.585,-10.1695,"Lantian",27.9078608844952,2.24613124127083,-8.62635116388398,0.470223572569527,-9.0965747364535,-8.15612759131445
"57",5.12,-8.733,-7.8525,"Lantian",27.0402902147524,2.13733989013258,-6.45678488698906,0.463360751421285,-6.92014563841035,-5.99342413556778
"58",5.183,-8.9115,-8.958,"Lantian",25.3291367363778,2.04448181741253,-7.86992154281501,0.444166826224263,-8.31408836903928,-7.42575471659075
"59",5.24682999999999,-9.2405,-9.453,"Lantian",23.5068629770689,2.13732951133539,-8.689093848512,0.460635578294369,-9.14972942680637,-8.22845827021763
"60",5.31024499999999,-9.8155,-10.1605,"Lantian",21.9208881577882,2.24350515761233,-9.69968922780874,0.477067601084945,-10.1767568288937,-9.2226216267238
"61",5.37365999999999,-9.7675,-10.293,"Lantian",20.1256214397851,2.28349622981631,-10.1560692981078,0.4955157097407,-10.6515850078485,-9.66055358836705
"62",5.44822539999999,-9.564,-10.2725,"Lantian",17.1037605174509,2.5169465970749,-10.7005049351926,0.536750846849728,-11.2372557820423,-10.1637540883429
"63",5.52403139999999,-9.337,-10.2385,"Lantian",14.1199294171307,3.07177017449821,-11.2400397535511,0.643592418971141,-11.8836321725223,-10.59644733458
"64",5.59983739999999,-9.114,-10.1155,"Lantian",12.3958834217589,3.433851515618,-11.4597615773,0.722226931160648,-12.1819885084607,-10.7375346461394
