age,RH,RH.sd,d18p,d18p.sd,Dp17p,Dp17p.sd,f,f.sd,Tsoil,Tsoil.sd
-7,0.6469219411518995,0.0058365361596232745,-26.733509042535854,0.5347613268889297,25.151833125511143,5.388394351615608,0.3930177527207201,0.01899260494658529,16.292836883768484,0.9557817905328637
-6.9,0.6466591518988087,0.005951330715599138,-26.731269485333048,0.5562933106631579,25.151645761014816,5.388720388671095,0.37961132429637956,0.01996363402816724,16.43847302579068,0.9322330636849154
-6.8,0.6462418957988518,0.006139718824289573,-26.840805514937788,0.5999133007643992,25.15119388985253,5.389829472122945,0.38106199768658466,0.022768051615049342,16.719131517594217,0.9883851402345757
-6.7,0.6456283734282545,0.006428930731418791,-26.97196872951509,0.6447043766073577,25.150615675897047,5.390353483984228,0.36010911084894787,0.025287455361157167,16.872178580315975,1.0703312200203365
-6.6,0.6448565531462986,0.00676412820426036,-27.16247243595428,0.6407327030209736,25.149853199205875,5.390422141882284,0.3429092753338865,0.02476460543170333,17.022948390985214,1.165593158835726
-6.5,0.6439433121185882,0.007002649217799832,-27.368925879492807,0.6833320030626866,25.149420053336897,5.39068067156325,0.3414651635672679,0.027560986550702736,17.282122473798903,1.191996080675253
-6.4,0.6428044455920074,0.007130982456869532,-27.484369180932234,0.6857822564060054,25.148814035145342,5.390981463268155,0.32241501353934454,0.030238045554255154,17.478815360659873,1.0619587838020652
-6.3,0.6415780866379417,0.007078852580124726,-27.62016407432968,0.6618517002373289,25.148265827795587,5.391509860613187,0.3297472985489029,0.03351115701044866,17.71220777377778,0.9056491274122177
-6.2,0.6401452559266513,0.007023447891577988,-27.709278118098727,0.6655278428720806,25.147859512489973,5.392674625917563,0.3281588624490143,0.03846668620685477,17.955917653346678,0.9132940086674747
-6.1,0.6385458127992529,0.006998747936150235,-27.786753908343773,0.6766238507293421,25.14750486999946,5.393678150737163,0.3353554921069073,0.038772723342827616,18.23027335438429,1.062991818667797
