"","site","SID","age","n","d13","d13.se","d18","d18.se","temp","temp.sd","st.low","st.high","d18sw","d18sw.se","d18sw.low","d18sw.high"
"1","Jiaxian","800",2.8024,4,-2.820475,0.0633449484963086,-8.6892,0.0647168576699045,19.8760095358979,3.24175663675862,16.6342528991393,23.1177661726566,-8.6045930412363,0.603837055685953,-9.20843009692226,-8.00075598555035
"2","Jiaxian","1220",3.0292,5,-3.77264,0.0300904137558792,-10.07866,0.0449489332465186,18.8721990718067,2.86449123367362,16.0077078381331,21.7366903054804,-10.1702378988,0.543660442111319,-10.7138983409113,-9.6265774566887
"3","Jiaxian","1320",3.1022,4,-1.73022,0.0412060311119622,-9.73296,0.0479476746047188,23.808274939364,3.37554333366558,20.4327316056985,27.1838182730296,-8.91824464355241,0.613395603320004,-9.53164024687241,-8.3048490402324
"4","Jiaxian","1320",3.1022,4,-2.085575,0.0500073577919624,-9.6924,0.0574853459587745,19.1547550752552,3.2176142270323,15.9371408482229,22.3723693022875,-9.74324348817443,0.603837754836259,-10.3470812430107,-9.13940573333817
"5","Jiaxian","1765",3.4831,5,-1.47714,0.0376179212610161,-9.53312,0.044254348938833,28.16874708473,4.60395583174039,23.5647912529896,32.7727029164704,-7.94890056945854,0.79926273482397,-8.74816330428251,-7.14963783463457
"6","Jiaxian","1815",3.5144,4,-2.086325,0.0398734142840398,-8.747625,0.0831711325621256,19.3105748836713,3.58982340178369,15.7207514818876,22.900398285455,-8.76993530825766,0.677480135036341,-9.447415443294,-8.09245517322132
"7","Jiaxian","2020",3.7869,3,-4.47096666666667,0.00724729834720016,-9.11926666666667,0.0923940895175539,21.6628921455476,3.82290926120709,17.8399828843405,25.4858014067547,-8.70344852348408,0.703246065308998,-9.40669458879308,-8.00020245817508
"8","Jiaxian","2300",4.3533,5,-3.05018333333333,0.0288506094678547,-8.9348,0.0530571842449256,18.9486570176555,2.86676394940974,16.0818930682458,21.8154209670653,-9.02229209811638,0.535585417757272,-9.55787751587365,-8.48670668035911
"9","Jiaxian","2650",4.8692,5,-3.89338,0.052142564187044,-8.9457,0.0687149110455657,27.2535493754145,3.12096254960488,24.1325868258097,30.3745119250194,-7.50886312154511,0.556968520454035,-8.06583164199914,-6.95189460109107
"10","Jiaxian","2975",5.2973,3,-5.44293333333333,0.0349231060092502,-9.44123333333333,0.0218530191150893,20.7377828989717,3.7865702378138,16.9512126611579,24.5243531367855,-9.20584492557801,0.701448862613654,-9.90729378819166,-8.50439606296436
"11","Jiaxian","3595",5.8536,3,-4.7485,0.0200957706993289,-9.51936666666667,0.0371882747351607,15.3018532089633,3.5777715333075,11.7240816756558,18.8796247422708,-10.2897384919815,0.678685194719062,-10.9684236867006,-9.61105329726244
